Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-5;0;-2;1;
2;0.1;-1;-5;0;-2;1;
3;0.2;-0.6;-3;0.4;-1.6;0.6;
4;0.3;-0.2;-1;0.8;-1.2;0.2;
5;0.4;0.2;1;1.2;-0.8;-0.2;
6;0.5;0.6;3;1.6;-0.4;-0.6;
7;0.6;1;5;2;0;-1;
8;0.7;0.6;3;1.6;-0.4;-0.6;
9;0.8;0.2;1;1.2;-0.8;-0.2;
10;0.9;-0.2;-1;0.8;-1.2;0.2;
11;1;-0.6;-3;0.4;-1.6;0.6;
12;1.1;-1;-5;0;-2;1;
13;1.2;-0.6;-3;0.4;-1.6;0.6;
14;1.3;-0.2;-1;0.8;-1.2;0.2;
15;1.4;0.2;1;1.2;-0.8;-0.2;
16;1.5;0.6;3;1.6;-0.4;-0.6;
17;1.6;1;5;2;0;-1;
18;1.7;0.6;3;1.6;-0.4;-0.6;
19;1.8;0.2;1;1.2;-0.8;-0.2;
20;1.9;-0.2;-1;0.8;-1.2;0.2;
21;2;-0.6;-3;0.4;-1.6;0.6;
22;2.1;-1;-5;0;-2;1;
