Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-5;0;-2;1;
2;0.01;-1;-5;0;-2;1;
3;0.02;-0.98;-4.9;0.02;-1.98;0.98;
4;0.03;-0.96;-4.8;0.04;-1.96;0.96;
5;0.04;-0.94;-4.7;0.06;-1.94;0.94;
6;0.05;-0.92;-4.6;0.08;-1.92;0.92;
7;0.06;-0.9;-4.5;0.1;-1.9;0.9;
8;0.07;-0.88;-4.4;0.12;-1.88;0.88;
9;0.08;-0.86;-4.3;0.14;-1.86;0.86;
10;0.09;-0.84;-4.2;0.16;-1.84;0.84;
11;0.1;-0.82;-4.1;0.18;-1.82;0.82;
12;0.11;-0.8;-4;0.2;-1.8;0.8;
13;0.12;-0.78;-3.9;0.22;-1.78;0.78;
14;0.13;-0.76;-3.8;0.24;-1.76;0.76;
15;0.14;-0.74;-3.7;0.26;-1.74;0.74;
16;0.15;-0.72;-3.6;0.28;-1.72;0.72;
17;0.16;-0.7;-3.5;0.3;-1.7;0.7;
18;0.17;-0.68;-3.4;0.32;-1.68;0.68;
19;0.18;-0.66;-3.3;0.34;-1.66;0.66;
20;0.19;-0.64;-3.2;0.36;-1.64;0.64;
21;0.2;-0.62;-3.1;0.38;-1.62;0.62;
22;0.21;-0.6;-3;0.4;-1.6;0.6;
23;0.22;-0.58;-2.9;0.42;-1.58;0.58;
24;0.23;-0.56;-2.8;0.44;-1.56;0.56;
25;0.24;-0.54;-2.7;0.46;-1.54;0.54;
26;0.25;-0.52;-2.6;0.48;-1.52;0.52;
27;0.26;-0.5;-2.5;0.5;-1.5;0.5;
28;0.27;-0.48;-2.4;0.52;-1.48;0.48;
29;0.28;-0.46;-2.3;0.54;-1.46;0.46;
30;0.29;-0.44;-2.2;0.56;-1.44;0.44;
31;0.3;-0.42;-2.1;0.58;-1.42;0.42;
32;0.31;-0.4;-2;0.6;-1.4;0.4;
33;0.32;-0.38;-1.9;0.62;-1.38;0.38;
34;0.33;-0.36;-1.8;0.64;-1.36;0.36;
35;0.34;-0.34;-1.7;0.66;-1.34;0.34;
36;0.35;-0.32;-1.6;0.68;-1.32;0.32;
37;0.36;-0.3;-1.5;0.7;-1.3;0.3;
38;0.37;-0.28;-1.4;0.72;-1.28;0.28;
39;0.38;-0.26;-1.3;0.74;-1.26;0.26;
40;0.39;-0.24;-1.2;0.76;-1.24;0.24;
41;0.4;-0.22;-1.1;0.78;-1.22;0.22;
42;0.41;-0.2;-1;0.8;-1.2;0.2;
43;0.42;-0.18;-0.9;0.82;-1.18;0.18;
44;0.43;-0.16;-0.8;0.84;-1.16;0.16;
45;0.44;-0.14;-0.7;0.86;-1.14;0.14;
46;0.45;-0.12;-0.6;0.88;-1.12;0.12;
47;0.46;-0.1;-0.5;0.9;-1.1;0.1;
48;0.47;-0.08;-0.4;0.92;-1.08;0.08;
49;0.48;-0.06;-0.3;0.94;-1.06;0.06;
50;0.49;-0.04;-0.2;0.96;-1.04;0.04;
51;0.5;-0.02;-0.1;0.98;-1.02;0.02;
52;0.51;0;0;1;-1;0;
53;0.52;0.02;0.1;1.02;-0.98;-0.02;
54;0.53;0.04;0.2;1.04;-0.96;-0.04;
55;0.54;0.06;0.3;1.06;-0.94;-0.06;
56;0.55;0.08;0.4;1.08;-0.92;-0.08;
57;0.56;0.1;0.5;1.1;-0.9;-0.1;
58;0.57;0.12;0.6;1.12;-0.88;-0.12;
59;0.58;0.14;0.7;1.14;-0.86;-0.14;
60;0.59;0.16;0.8;1.16;-0.84;-0.16;
61;0.6;0.18;0.9;1.18;-0.82;-0.18;
62;0.61;0.2;1;1.2;-0.8;-0.2;
63;0.62;0.22;1.1;1.22;-0.78;-0.22;
64;0.63;0.24;1.2;1.24;-0.76;-0.24;
65;0.64;0.26;1.3;1.26;-0.74;-0.26;
66;0.65;0.28;1.4;1.28;-0.72;-0.28;
67;0.66;0.3;1.5;1.3;-0.7;-0.3;
68;0.67;0.32;1.6;1.32;-0.68;-0.32;
69;0.68;0.34;1.7;1.34;-0.66;-0.34;
70;0.69;0.36;1.8;1.36;-0.64;-0.36;
71;0.7;0.38;1.9;1.38;-0.62;-0.38;
72;0.71;0.4;2;1.4;-0.6;-0.4;
73;0.72;0.42;2.1;1.42;-0.58;-0.42;
74;0.73;0.44;2.2;1.44;-0.56;-0.44;
75;0.74;0.46;2.3;1.46;-0.54;-0.46;
76;0.75;0.48;2.4;1.48;-0.52;-0.48;
77;0.76;0.5;2.5;1.5;-0.5;-0.5;
78;0.77;0.52;2.6;1.52;-0.48;-0.52;
79;0.78;0.54;2.7;1.54;-0.46;-0.54;
80;0.79;0.56;2.8;1.56;-0.44;-0.56;
81;0.8;0.58;2.9;1.58;-0.42;-0.58;
82;0.81;0.6;3;1.6;-0.4;-0.6;
83;0.82;0.62;3.1;1.62;-0.38;-0.62;
84;0.83;0.64;3.2;1.64;-0.36;-0.64;
85;0.84;0.66;3.3;1.66;-0.34;-0.66;
86;0.85;0.68;3.4;1.68;-0.32;-0.68;
87;0.86;0.7;3.5;1.7;-0.3;-0.7;
88;0.87;0.72;3.6;1.72;-0.28;-0.72;
89;0.88;0.74;3.7;1.74;-0.26;-0.74;
90;0.89;0.76;3.8;1.76;-0.24;-0.76;
91;0.9;0.78;3.9;1.78;-0.22;-0.78;
92;0.91;0.8;4;1.8;-0.2;-0.8;
93;0.92;0.82;4.1;1.82;-0.18;-0.82;
94;0.93;0.84;4.2;1.84;-0.16;-0.84;
95;0.94;0.86;4.3;1.86;-0.14;-0.86;
96;0.95;0.88;4.4;1.88;-0.12;-0.88;
97;0.96;0.9;4.5;1.9;-0.1;-0.9;
98;0.97;0.92;4.6;1.92;-0.08;-0.92;
99;0.98;0.94;4.7;1.94;-0.06;-0.94;
100;0.99;0.96;4.8;1.96;-0.04;-0.96;
101;1;0.98;4.9;1.98;-0.02;-0.98;
102;1.01;-1;-5;0;-2;1;
103;1.02;-0.98;-4.9;0.02;-1.98;0.98;
104;1.03;-0.96;-4.8;0.04;-1.96;0.96;
105;1.04;-0.94;-4.7;0.06;-1.94;0.94;
106;1.05;-0.92;-4.6;0.08;-1.92;0.92;
107;1.06;-0.9;-4.5;0.1;-1.9;0.9;
108;1.07;-0.88;-4.4;0.12;-1.88;0.88;
109;1.08;-0.86;-4.3;0.14;-1.86;0.86;
110;1.09;-0.84;-4.2;0.16;-1.84;0.84;
111;1.1;-0.82;-4.1;0.18;-1.82;0.82;
112;1.11;-0.8;-4;0.2;-1.8;0.8;
113;1.12;-0.78;-3.9;0.22;-1.78;0.78;
114;1.13;-0.76;-3.8;0.24;-1.76;0.76;
115;1.14;-0.74;-3.7;0.26;-1.74;0.74;
116;1.15;-0.72;-3.6;0.28;-1.72;0.72;
117;1.16;-0.7;-3.5;0.3;-1.7;0.7;
118;1.17;-0.68;-3.4;0.32;-1.68;0.68;
119;1.18;-0.66;-3.3;0.34;-1.66;0.66;
120;1.19;-0.64;-3.2;0.36;-1.64;0.64;
121;1.2;-0.62;-3.1;0.38;-1.62;0.62;
122;1.21;-0.6;-3;0.4;-1.6;0.6;
123;1.22;-0.58;-2.9;0.42;-1.58;0.58;
124;1.23;-0.56;-2.8;0.44;-1.56;0.56;
125;1.24;-0.54;-2.7;0.46;-1.54;0.54;
126;1.25;-0.52;-2.6;0.48;-1.52;0.52;
127;1.26;-0.5;-2.5;0.5;-1.5;0.5;
128;1.27;-0.48;-2.4;0.52;-1.48;0.48;
129;1.28;-0.46;-2.3;0.54;-1.46;0.46;
130;1.29;-0.44;-2.2;0.56;-1.44;0.44;
131;1.3;-0.42;-2.1;0.58;-1.42;0.42;
132;1.31;-0.4;-2;0.6;-1.4;0.4;
133;1.32;-0.38;-1.9;0.62;-1.38;0.38;
134;1.33;-0.36;-1.8;0.64;-1.36;0.36;
135;1.34;-0.34;-1.7;0.66;-1.34;0.34;
136;1.35;-0.32;-1.6;0.68;-1.32;0.32;
137;1.36;-0.3;-1.5;0.7;-1.3;0.3;
138;1.37;-0.28;-1.4;0.72;-1.28;0.28;
139;1.38;-0.26;-1.3;0.74;-1.26;0.26;
140;1.39;-0.24;-1.2;0.76;-1.24;0.24;
141;1.4;-0.22;-1.1;0.78;-1.22;0.22;
142;1.41;-0.2;-1;0.8;-1.2;0.2;
143;1.42;-0.18;-0.9;0.82;-1.18;0.18;
144;1.43;-0.16;-0.8;0.84;-1.16;0.16;
145;1.44;-0.14;-0.7;0.86;-1.14;0.14;
146;1.45;-0.12;-0.6;0.88;-1.12;0.12;
147;1.46;-0.1;-0.5;0.9;-1.1;0.1;
148;1.47;-0.08;-0.4;0.92;-1.08;0.08;
149;1.48;-0.06;-0.3;0.94;-1.06;0.06;
150;1.49;-0.04;-0.2;0.96;-1.04;0.04;
151;1.5;-0.02;-0.1;0.98;-1.02;0.02;
152;1.51;0;0;1;-1;0;
153;1.52;0.02;0.1;1.02;-0.98;-0.02;
154;1.53;0.04;0.2;1.04;-0.96;-0.04;
155;1.54;0.06;0.3;1.06;-0.94;-0.06;
156;1.55;0.08;0.4;1.08;-0.92;-0.08;
157;1.56;0.1;0.5;1.1;-0.9;-0.1;
158;1.57;0.12;0.6;1.12;-0.88;-0.12;
159;1.58;0.14;0.7;1.14;-0.86;-0.14;
160;1.59;0.16;0.8;1.16;-0.84;-0.16;
161;1.6;0.18;0.9;1.18;-0.82;-0.18;
162;1.61;0.2;1;1.2;-0.8;-0.2;
163;1.62;0.22;1.1;1.22;-0.78;-0.22;
164;1.63;0.24;1.2;1.24;-0.76;-0.24;
165;1.64;0.26;1.3;1.26;-0.74;-0.26;
166;1.65;0.28;1.4;1.28;-0.72;-0.28;
167;1.66;0.3;1.5;1.3;-0.7;-0.3;
