Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-5;0;-2;1;
2;0.1;-1;-5;0;-2;1;
3;0.2;-0.8;-4;0.2;-1.8;0.8;
4;0.3;-0.6;-3;0.4;-1.6;0.6;
5;0.4;-0.4;-2;0.6;-1.4;0.4;
6;0.5;-0.2;-1;0.8;-1.2;0.2;
7;0.6;0;0;1;-1;0;
8;0.7;0.2;1;1.2;-0.8;-0.2;
9;0.8;0.4;2;1.4;-0.6;-0.4;
10;0.9;0.6;3;1.6;-0.4;-0.6;
11;1;0.8;4;1.8;-0.2;-0.8;
12;1.1;-1;-5;0;-2;1;
13;1.2;-0.8;-4;0.2;-1.8;0.8;
14;1.3;-0.6;-3;0.4;-1.6;0.6;
15;1.4;-0.4;-2;0.6;-1.4;0.4;
16;1.5;-0.2;-1;0.8;-1.2;0.2;
17;1.6;0;0;1;-1;0;
18;1.7;0.2;1;1.2;-0.8;-0.2;
19;1.8;0.4;2;1.4;-0.6;-0.4;
20;1.9;0.6;3;1.6;-0.4;-0.6;
21;2;0.8;4;1.8;-0.2;-0.8;
22;2.1;-1;-5;0;-2;1;
