Line,Time,saw 1,saw 2,
1,0,0,0,
2,0.01,-1,nan,
3,0.02,-1,nan,
4,0.03,-0.8,nan,
5,0.04,-0.6,nan,
6,0.05,-0.4,nan,
7,0.06,-0.2,nan,
8,0.07,5.55112e-17,7.45058e-09,
9,0.08,0.2,0.447214,
10,0.09,0.4,0.632456,
11,0.1,0.6,0.774597,
12,0.11,0.8,0.894427,
13,0.12,1,1,
14,0.13,1.2,1.09545,
15,0.14,1.4,1.18322,
16,0.15,1.6,1.26491,
17,0.16,1.8,1.34164,
18,0.17,2,1.41421,
19,0.18,2.2,1.48324,
20,0.19,2.4,1.54919,
21,0.2,2.6,1.61245,
22,0.21,2.8,1.67332,
23,0.22,3,1.73205,
24,0.23,3.2,1.78885,
25,0.24,3.4,1.84391,
26,0.25,3.6,1.89737,
27,0.26,3.8,1.94936,
28,0.27,4,2,
29,0.28,4.2,2.04939,
30,0.29,4.4,2.09762,
31,0.3,4.6,2.14476,
32,0.31,4.8,2.19089,
33,0.32,5,2.23607,
34,0.33,5.2,2.28035,
35,0.34,5.4,2.32379,
36,0.35,5.6,2.36643,
37,0.36,5.8,2.40832,
38,0.37,6,2.44949,
39,0.38,6.2,2.48998,
40,0.39,6.4,2.52982,
41,0.4,6.6,2.56905,
42,0.41,6.8,2.60768,
43,0.42,7,2.64575,
44,0.43,7.2,2.68328,
45,0.44,7.4,2.72029,
46,0.45,7.6,2.75681,
47,0.46,7.8,2.79285,
48,0.47,8,2.82843,
49,0.48,8.2,2.86356,
50,0.49,8.4,2.89828,
51,0.5,8.6,2.93258,
52,0.51,8.8,2.96648,
53,0.52,9,3,
54,0.53,9.2,3.03315,
55,0.54,9.4,3.06594,
56,0.55,9.6,3.09839,
57,0.56,9.8,3.1305,
58,0.57,10,3.16228,
59,0.58,10.2,3.19374,
60,0.59,10.4,3.2249,
61,0.6,10.6,3.25576,
62,0.61,10.8,3.28634,
63,0.62,11,3.31662,
64,0.63,11.2,3.34664,
65,0.64,11.4,3.37639,
66,0.65,11.6,3.40588,
67,0.66,11.8,3.43511,
68,0.67,12,3.4641,
69,0.68,12.2,3.49285,
70,0.69,12.4,3.52136,
71,0.7,12.6,3.54965,
72,0.71,12.8,3.57771,
73,0.72,13,3.60555,
74,0.73,13.2,3.63318,
75,0.74,13.4,3.6606,
76,0.75,13.6,3.68782,
77,0.76,13.8,3.71484,
78,0.77,14,3.74166,
79,0.78,14.2,3.76829,
80,0.79,14.4,3.79473,
81,0.8,14.6,3.82099,
82,0.81,14.8,3.84708,
83,0.82,15,3.87298,
84,0.83,15.2,3.89872,
85,0.84,15.4,3.92428,
86,0.85,15.6,3.94968,
87,0.86,15.8,3.97492,
88,0.87,16,4,
89,0.88,16.2,4.02492,
90,0.89,16.4,4.04969,
91,0.9,16.6,4.07431,
92,0.91,16.8,4.09878,
93,0.92,17,4.12311,
94,0.93,17.2,4.14729,
95,0.94,17.4,4.17133,
96,0.95,17.6,4.19524,
97,0.96,17.8,4.219,
98,0.97,18,4.24264,
99,0.98,18.2,4.26615,
100,0.99,18.4,4.28952,
101,1,18.6,4.31277,
102,1.01,18.8,4.3359,
103,1.02,-1,nan,
104,1.03,-0.8,nan,
105,1.04,-0.6,nan,
106,1.05,-0.4,nan,
107,1.06,-0.2,nan,
108,1.07,5.55112e-17,7.45058e-09,
109,1.08,0.2,0.447214,
110,1.09,0.4,0.632456,
111,1.1,0.6,0.774597,
112,1.11,0.8,0.894427,
