Line;Time;saw 1;result;
1;0;0;0;
2;0.01;-10;-0.839072;
3;0.02;-10;-0.839072;
4;0.03;-9.8;-0.930426;
5;0.04;-9.6;-0.984688;
6;0.05;-9.4;-0.999693;
7;0.06;-9.2;-0.974844;
8;0.07;-9;-0.91113;
9;0.08;-8.8;-0.811093;
10;0.09;-8.6;-0.67872;
11;0.1;-8.4;-0.519289;
12;0.11;-8.2;-0.339155;
13;0.12;-8;-0.1455;
14;0.13;-7.8;0.0539554;
15;0.14;-7.6;0.25126;
16;0.15;-7.4;0.438547;
17;0.16;-7.2;0.608351;
18;0.17;-7;0.753902;
19;0.18;-6.8;0.869397;
20;0.19;-6.6;0.950233;
21;0.2;-6.4;0.993185;
22;0.21;-6.2;0.996542;
23;0.22;-6;0.96017;
24;0.23;-5.8;0.88552;
25;0.24;-5.6;0.775566;
26;0.25;-5.4;0.634693;
27;0.26;-5.2;0.468517;
28;0.27;-5;0.283662;
29;0.28;-4.8;0.087499;
30;0.29;-4.6;-0.112153;
31;0.3;-4.4;-0.307333;
32;0.31;-4.2;-0.490261;
33;0.32;-4;-0.653644;
34;0.33;-3.8;-0.790968;
35;0.34;-3.6;-0.896758;
36;0.35;-3.4;-0.966798;
37;0.36;-3.2;-0.998295;
38;0.37;-3;-0.989992;
39;0.38;-2.8;-0.942222;
40;0.39;-2.6;-0.856889;
41;0.4;-2.4;-0.737394;
42;0.41;-2.2;-0.588501;
43;0.42;-2;-0.416147;
44;0.43;-1.8;-0.227202;
45;0.44;-1.6;-0.0291995;
46;0.45;-1.4;0.169967;
47;0.46;-1.2;0.362358;
48;0.47;-1;0.540302;
49;0.48;-0.8;0.696707;
50;0.49;-0.6;0.825336;
51;0.5;-0.4;0.921061;
52;0.51;-0.2;0.980067;
53;0.52;0;1;
54;0.53;0.2;0.980067;
55;0.54;0.4;0.921061;
56;0.55;0.6;0.825336;
57;0.56;0.8;0.696707;
58;0.57;1;0.540302;
59;0.58;1.2;0.362358;
60;0.59;1.4;0.169967;
61;0.6;1.6;-0.0291995;
62;0.61;1.8;-0.227202;
63;0.62;2;-0.416147;
64;0.63;2.2;-0.588501;
65;0.64;2.4;-0.737394;
66;0.65;2.6;-0.856889;
67;0.66;2.8;-0.942222;
68;0.67;3;-0.989992;
69;0.68;3.2;-0.998295;
70;0.69;3.4;-0.966798;
71;0.7;3.6;-0.896758;
72;0.71;3.8;-0.790968;
73;0.72;4;-0.653644;
74;0.73;4.2;-0.490261;
75;0.74;4.4;-0.307333;
76;0.75;4.6;-0.112153;
77;0.76;4.8;0.087499;
78;0.77;5;0.283662;
79;0.78;5.2;0.468517;
80;0.79;5.4;0.634693;
81;0.8;5.6;0.775566;
82;0.81;5.8;0.88552;
83;0.82;6;0.96017;
84;0.83;6.2;0.996542;
85;0.84;6.4;0.993185;
86;0.85;6.6;0.950233;
87;0.86;6.8;0.869397;
88;0.87;7;0.753902;
89;0.88;7.2;0.608351;
90;0.89;7.4;0.438547;
91;0.9;7.6;0.25126;
92;0.91;7.8;0.0539554;
93;0.92;8;-0.1455;
94;0.93;8.2;-0.339155;
95;0.94;8.4;-0.519289;
96;0.95;8.6;-0.67872;
97;0.96;8.8;-0.811093;
98;0.97;9;-0.91113;
99;0.98;9.2;-0.974844;
100;0.99;9.4;-0.999693;
101;1;9.6;-0.984688;
102;1.01;9.8;-0.930426;
103;1.02;-10;-0.839072;
104;1.03;-9.8;-0.930426;
105;1.04;-9.6;-0.984688;
106;1.05;-9.4;-0.999693;
107;1.06;-9.2;-0.974844;
108;1.07;-9;-0.91113;
109;1.08;-8.8;-0.811093;
110;1.09;-8.6;-0.67872;
111;1.1;-8.4;-0.519289;
112;1.11;-8.2;-0.339155;
