Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-5;0;-2;1;
2;0.01;-1;-5;0;-2;1;
3;0.02;-0.96;-4.8;0.04;-1.96;0.96;
4;0.03;-0.92;-4.6;0.08;-1.92;0.92;
5;0.04;-0.88;-4.4;0.12;-1.88;0.88;
6;0.05;-0.84;-4.2;0.16;-1.84;0.84;
7;0.06;-0.8;-4;0.2;-1.8;0.8;
8;0.07;-0.76;-3.8;0.24;-1.76;0.76;
9;0.08;-0.72;-3.6;0.28;-1.72;0.72;
10;0.09;-0.68;-3.4;0.32;-1.68;0.68;
11;0.1;-0.64;-3.2;0.36;-1.64;0.64;
12;0.11;-0.6;-3;0.4;-1.6;0.6;
13;0.12;-0.56;-2.8;0.44;-1.56;0.56;
14;0.13;-0.52;-2.6;0.48;-1.52;0.52;
15;0.14;-0.48;-2.4;0.52;-1.48;0.48;
16;0.15;-0.44;-2.2;0.56;-1.44;0.44;
17;0.16;-0.4;-2;0.6;-1.4;0.4;
18;0.17;-0.36;-1.8;0.64;-1.36;0.36;
19;0.18;-0.32;-1.6;0.68;-1.32;0.32;
20;0.19;-0.28;-1.4;0.72;-1.28;0.28;
21;0.2;-0.24;-1.2;0.76;-1.24;0.24;
22;0.21;-0.2;-1;0.8;-1.2;0.2;
23;0.22;-0.16;-0.8;0.84;-1.16;0.16;
24;0.23;-0.12;-0.6;0.88;-1.12;0.12;
25;0.24;-0.08;-0.4;0.92;-1.08;0.08;
26;0.25;-0.04;-0.2;0.96;-1.04;0.04;
27;0.26;0;0;1;-1;0;
28;0.27;0.04;0.2;1.04;-0.96;-0.04;
29;0.28;0.08;0.4;1.08;-0.92;-0.08;
30;0.29;0.12;0.6;1.12;-0.88;-0.12;
31;0.3;0.16;0.8;1.16;-0.84;-0.16;
32;0.31;0.2;1;1.2;-0.8;-0.2;
33;0.32;0.24;1.2;1.24;-0.76;-0.24;
34;0.33;0.28;1.4;1.28;-0.72;-0.28;
35;0.34;0.32;1.6;1.32;-0.68;-0.32;
36;0.35;0.36;1.8;1.36;-0.64;-0.36;
37;0.36;0.4;2;1.4;-0.6;-0.4;
38;0.37;0.44;2.2;1.44;-0.56;-0.44;
39;0.38;0.48;2.4;1.48;-0.52;-0.48;
40;0.39;0.52;2.6;1.52;-0.48;-0.52;
41;0.4;0.56;2.8;1.56;-0.44;-0.56;
42;0.41;0.6;3;1.6;-0.4;-0.6;
43;0.42;0.64;3.2;1.64;-0.36;-0.64;
44;0.43;0.68;3.4;1.68;-0.32;-0.68;
45;0.44;0.72;3.6;1.72;-0.28;-0.72;
46;0.45;0.76;3.8;1.76;-0.24;-0.76;
47;0.46;0.8;4;1.8;-0.2;-0.8;
48;0.47;0.84;4.2;1.84;-0.16;-0.84;
49;0.48;0.88;4.4;1.88;-0.12;-0.88;
50;0.49;0.92;4.6;1.92;-0.08;-0.92;
51;0.5;0.96;4.8;1.96;-0.04;-0.96;
52;0.51;1;5;2;0;-1;
53;0.52;0.96;4.8;1.96;-0.04;-0.96;
54;0.53;0.92;4.6;1.92;-0.08;-0.92;
55;0.54;0.88;4.4;1.88;-0.12;-0.88;
56;0.55;0.84;4.2;1.84;-0.16;-0.84;
57;0.56;0.8;4;1.8;-0.2;-0.8;
58;0.57;0.76;3.8;1.76;-0.24;-0.76;
59;0.58;0.72;3.6;1.72;-0.28;-0.72;
60;0.59;0.68;3.4;1.68;-0.32;-0.68;
61;0.6;0.64;3.2;1.64;-0.36;-0.64;
62;0.61;0.6;3;1.6;-0.4;-0.6;
63;0.62;0.56;2.8;1.56;-0.44;-0.56;
64;0.63;0.52;2.6;1.52;-0.48;-0.52;
65;0.64;0.48;2.4;1.48;-0.52;-0.48;
66;0.65;0.44;2.2;1.44;-0.56;-0.44;
67;0.66;0.4;2;1.4;-0.6;-0.4;
68;0.67;0.36;1.8;1.36;-0.64;-0.36;
69;0.68;0.32;1.6;1.32;-0.68;-0.32;
70;0.69;0.28;1.4;1.28;-0.72;-0.28;
71;0.7;0.24;1.2;1.24;-0.76;-0.24;
72;0.71;0.2;1;1.2;-0.8;-0.2;
73;0.72;0.16;0.8;1.16;-0.84;-0.16;
74;0.73;0.12;0.6;1.12;-0.88;-0.12;
75;0.74;0.08;0.4;1.08;-0.92;-0.08;
76;0.75;0.04;0.2;1.04;-0.96;-0.04;
77;0.76;0;0;1;-1;0;
78;0.77;-0.04;-0.2;0.96;-1.04;0.04;
79;0.78;-0.08;-0.4;0.92;-1.08;0.08;
80;0.79;-0.12;-0.6;0.88;-1.12;0.12;
81;0.8;-0.16;-0.8;0.84;-1.16;0.16;
82;0.81;-0.2;-1;0.8;-1.2;0.2;
83;0.82;-0.24;-1.2;0.76;-1.24;0.24;
84;0.83;-0.28;-1.4;0.72;-1.28;0.28;
85;0.84;-0.32;-1.6;0.68;-1.32;0.32;
86;0.85;-0.36;-1.8;0.64;-1.36;0.36;
87;0.86;-0.4;-2;0.6;-1.4;0.4;
88;0.87;-0.44;-2.2;0.56;-1.44;0.44;
89;0.88;-0.48;-2.4;0.52;-1.48;0.48;
90;0.89;-0.52;-2.6;0.48;-1.52;0.52;
91;0.9;-0.56;-2.8;0.44;-1.56;0.56;
92;0.91;-0.6;-3;0.4;-1.6;0.6;
93;0.92;-0.64;-3.2;0.36;-1.64;0.64;
94;0.93;-0.68;-3.4;0.32;-1.68;0.68;
95;0.94;-0.72;-3.6;0.28;-1.72;0.72;
96;0.95;-0.76;-3.8;0.24;-1.76;0.76;
97;0.96;-0.8;-4;0.2;-1.8;0.8;
98;0.97;-0.84;-4.2;0.16;-1.84;0.84;
99;0.98;-0.88;-4.4;0.12;-1.88;0.88;
100;0.99;-0.92;-4.6;0.08;-1.92;0.92;
101;1;-0.96;-4.8;0.04;-1.96;0.96;
102;1.01;-1;-5;0;-2;1;
103;1.02;-0.96;-4.8;0.04;-1.96;0.96;
104;1.03;-0.92;-4.6;0.08;-1.92;0.92;
105;1.04;-0.88;-4.4;0.12;-1.88;0.88;
106;1.05;-0.84;-4.2;0.16;-1.84;0.84;
107;1.06;-0.8;-4;0.2;-1.8;0.8;
108;1.07;-0.76;-3.8;0.24;-1.76;0.76;
109;1.08;-0.72;-3.6;0.28;-1.72;0.72;
110;1.09;-0.68;-3.4;0.32;-1.68;0.68;
111;1.1;-0.64;-3.2;0.36;-1.64;0.64;
112;1.11;-0.6;-3;0.4;-1.6;0.6;
113;1.12;-0.56;-2.8;0.44;-1.56;0.56;
114;1.13;-0.52;-2.6;0.48;-1.52;0.52;
115;1.14;-0.48;-2.4;0.52;-1.48;0.48;
116;1.15;-0.44;-2.2;0.56;-1.44;0.44;
117;1.16;-0.4;-2;0.6;-1.4;0.4;
118;1.17;-0.36;-1.8;0.64;-1.36;0.36;
119;1.18;-0.32;-1.6;0.68;-1.32;0.32;
120;1.19;-0.28;-1.4;0.72;-1.28;0.28;
121;1.2;-0.24;-1.2;0.76;-1.24;0.24;
122;1.21;-0.2;-1;0.8;-1.2;0.2;
123;1.22;-0.16;-0.8;0.84;-1.16;0.16;
124;1.23;-0.12;-0.6;0.88;-1.12;0.12;
125;1.24;-0.08;-0.4;0.92;-1.08;0.08;
126;1.25;-0.04;-0.2;0.96;-1.04;0.04;
127;1.26;0;0;1;-1;0;
128;1.27;0.04;0.2;1.04;-0.96;-0.04;
129;1.28;0.08;0.4;1.08;-0.92;-0.08;
130;1.29;0.12;0.6;1.12;-0.88;-0.12;
131;1.3;0.16;0.8;1.16;-0.84;-0.16;
132;1.31;0.2;1;1.2;-0.8;-0.2;
133;1.32;0.24;1.2;1.24;-0.76;-0.24;
134;1.33;0.28;1.4;1.28;-0.72;-0.28;
135;1.34;0.32;1.6;1.32;-0.68;-0.32;
136;1.35;0.36;1.8;1.36;-0.64;-0.36;
137;1.36;0.4;2;1.4;-0.6;-0.4;
138;1.37;0.44;2.2;1.44;-0.56;-0.44;
139;1.38;0.48;2.4;1.48;-0.52;-0.48;
140;1.39;0.52;2.6;1.52;-0.48;-0.52;
141;1.4;0.56;2.8;1.56;-0.44;-0.56;
142;1.41;0.6;3;1.6;-0.4;-0.6;
143;1.42;0.64;3.2;1.64;-0.36;-0.64;
144;1.43;0.68;3.4;1.68;-0.32;-0.68;
145;1.44;0.72;3.6;1.72;-0.28;-0.72;
146;1.45;0.76;3.8;1.76;-0.24;-0.76;
147;1.46;0.8;4;1.8;-0.2;-0.8;
148;1.47;0.84;4.2;1.84;-0.16;-0.84;
149;1.48;0.88;4.4;1.88;-0.12;-0.88;
150;1.49;0.92;4.6;1.92;-0.08;-0.92;
151;1.5;0.96;4.8;1.96;-0.04;-0.96;
152;1.51;1;5;2;0;-1;
153;1.52;0.96;4.8;1.96;-0.04;-0.96;
154;1.53;0.92;4.6;1.92;-0.08;-0.92;
155;1.54;0.88;4.4;1.88;-0.12;-0.88;
156;1.55;0.84;4.2;1.84;-0.16;-0.84;
157;1.56;0.8;4;1.8;-0.2;-0.8;
158;1.57;0.76;3.8;1.76;-0.24;-0.76;
159;1.58;0.72;3.6;1.72;-0.28;-0.72;
160;1.59;0.68;3.4;1.68;-0.32;-0.68;
161;1.6;0.64;3.2;1.64;-0.36;-0.64;
162;1.61;0.6;3;1.6;-0.4;-0.6;
163;1.62;0.56;2.8;1.56;-0.44;-0.56;
164;1.63;0.52;2.6;1.52;-0.48;-0.52;
165;1.64;0.48;2.4;1.48;-0.52;-0.48;
166;1.65;0.44;2.2;1.44;-0.56;-0.44;
167;1.66;0.4;2;1.4;-0.6;-0.4;
168;1.67;0.36;1.8;1.36;-0.64;-0.36;
169;1.68;0.32;1.6;1.32;-0.68;-0.32;
170;1.69;0.28;1.4;1.28;-0.72;-0.28;
