Line;Time;clk 1;out 1;out 2;
1;0;Falsch;0;0;
2;0.01;Wahr;0;0;
3;0.02;Wahr;0;0;
4;0.03;Falsch;0.0627905;0;
5;0.04;Wahr;0.125333;0.125333;
6;0.05;Falsch;0.187381;0.125333;
7;0.06;Wahr;0.24869;0.24869;
8;0.07;Falsch;0.309017;0.24869;
9;0.08;Wahr;0.368125;0.368125;
10;0.09;Falsch;0.425779;0.368125;
11;0.1;Wahr;0.481754;0.481754;
12;0.11;Falsch;0.535827;0.481754;
13;0.12;Wahr;0.587785;0.587785;
14;0.13;Falsch;0.637424;0.587785;
15;0.14;Wahr;0.684547;0.684547;
16;0.15;Falsch;0.728969;0.684547;
17;0.16;Wahr;0.770513;0.770513;
18;0.17;Falsch;0.809017;0.770513;
19;0.18;Wahr;0.844328;0.844328;
20;0.19;Falsch;0.876307;0.844328;
21;0.2;Wahr;0.904827;0.904827;
22;0.21;Falsch;0.929776;0.904827;
23;0.22;Wahr;0.951057;0.951057;
24;0.23;Falsch;0.968583;0.951057;
25;0.24;Wahr;0.982287;0.982287;
26;0.25;Falsch;0.992115;0.982287;
27;0.26;Wahr;0.998027;0.998027;
28;0.27;Falsch;1;0.998027;
29;0.28;Wahr;0.998027;0.998027;
30;0.29;Falsch;0.992115;0.998027;
31;0.3;Wahr;0.982287;0.982287;
32;0.31;Falsch;0.968583;0.982287;
33;0.32;Wahr;0.951057;0.951057;
34;0.33;Falsch;0.929776;0.951057;
35;0.34;Wahr;0.904827;0.904827;
36;0.35;Falsch;0.876307;0.904827;
37;0.36;Wahr;0.844328;0.844328;
38;0.37;Falsch;0.809017;0.844328;
39;0.38;Wahr;0.770513;0.770513;
40;0.39;Falsch;0.728969;0.770513;
41;0.4;Wahr;0.684547;0.684547;
42;0.41;Falsch;0.637424;0.684547;
43;0.42;Wahr;0.587785;0.587785;
44;0.43;Falsch;0.535827;0.587785;
45;0.44;Wahr;0.481754;0.481754;
46;0.45;Falsch;0.425779;0.481754;
47;0.46;Wahr;0.368125;0.368125;
48;0.47;Falsch;0.309017;0.368125;
49;0.48;Wahr;0.24869;0.24869;
50;0.49;Falsch;0.187381;0.24869;
51;0.5;Wahr;0.125333;0.125333;
52;0.51;Falsch;0.0627905;0.125333;
53;0.52;Wahr;1.22461e-16;1.22461e-16;
54;0.53;Falsch;-0.0627905;1.22461e-16;
55;0.54;Wahr;-0.125333;-0.125333;
56;0.55;Falsch;-0.187381;-0.125333;
57;0.56;Wahr;-0.24869;-0.24869;
58;0.57;Falsch;-0.309017;-0.24869;
59;0.58;Wahr;-0.368125;-0.368125;
60;0.59;Falsch;-0.425779;-0.368125;
61;0.6;Wahr;-0.481754;-0.481754;
62;0.61;Falsch;-0.535827;-0.481754;
63;0.62;Wahr;-0.587785;-0.587785;
64;0.63;Falsch;-0.637424;-0.587785;
65;0.64;Wahr;-0.684547;-0.684547;
66;0.65;Falsch;-0.728969;-0.684547;
67;0.66;Wahr;-0.770513;-0.770513;
68;0.67;Falsch;-0.809017;-0.770513;
69;0.68;Wahr;-0.844328;-0.844328;
70;0.69;Falsch;-0.876307;-0.844328;
71;0.7;Wahr;-0.904827;-0.904827;
72;0.71;Falsch;-0.929776;-0.904827;
73;0.72;Wahr;-0.951057;-0.951057;
74;0.73;Falsch;-0.968583;-0.951057;
75;0.74;Wahr;-0.982287;-0.982287;
76;0.75;Falsch;-0.992115;-0.982287;
77;0.76;Wahr;-0.998027;-0.998027;
78;0.77;Falsch;-1;-0.998027;
79;0.78;Wahr;-0.998027;-0.998027;
80;0.79;Falsch;-0.992115;-0.998027;
81;0.8;Wahr;-0.982287;-0.982287;
82;0.81;Falsch;-0.968583;-0.982287;
83;0.82;Wahr;-0.951057;-0.951057;
84;0.83;Falsch;-0.929776;-0.951057;
85;0.84;Wahr;-0.904827;-0.904827;
86;0.85;Falsch;-0.876307;-0.904827;
87;0.86;Wahr;-0.844328;-0.844328;
88;0.87;Falsch;-0.809017;-0.844328;
89;0.88;Wahr;-0.770513;-0.770513;
90;0.89;Falsch;-0.728969;-0.770513;
91;0.9;Wahr;-0.684547;-0.684547;
92;0.91;Falsch;-0.637424;-0.684547;
93;0.92;Wahr;-0.587785;-0.587785;
94;0.93;Falsch;-0.535827;-0.587785;
95;0.94;Wahr;-0.481754;-0.481754;
96;0.95;Falsch;-0.425779;-0.481754;
97;0.96;Wahr;-0.368125;-0.368125;
98;0.97;Falsch;-0.309017;-0.368125;
99;0.98;Wahr;-0.24869;-0.24869;
100;0.99;Falsch;-0.187381;-0.24869;
101;1;Wahr;-0.125333;-0.125333;
102;1.01;Falsch;-0.0627905;-0.125333;
103;1.02;Wahr;0;0;
104;1.03;Falsch;0.0627905;0;
105;1.04;Wahr;0.125333;0.125333;
106;1.05;Falsch;0.187381;0.125333;
107;1.06;Wahr;0.24869;0.24869;
108;1.07;Falsch;0.309017;0.24869;
109;1.08;Wahr;0.368125;0.368125;
110;1.09;Falsch;0.425779;0.368125;
111;1.1;Wahr;0.481754;0.481754;
112;1.11;Falsch;0.535827;0.481754;
