Line,Time,saw 1,Result 0,Result 1000,Result -1000,
1,0,0,0,1000,-1000,
2,0.01,-11,-1,-1,-1,
3,0.02,-11,-1,-1,-1,
4,0.03,-10.78,-1,-1,-1,
5,0.04,-10.56,-1,-1,-1,
6,0.05,-10.34,-1,-1,-1,
7,0.06,-10.12,-1,-1,-1,
8,0.07,-9.9,-1,-1,-1,
9,0.08,-9.68,-1,-1,-1,
10,0.09,-9.46,-1,-1,-1,
11,0.1,-9.24,-1,-1,-1,
12,0.11,-9.02,-1,-1,-1,
13,0.12,-8.8,-1,-1,-1,
14,0.13,-8.58,-1,-1,-1,
15,0.14,-8.36,-1,-1,-1,
16,0.15,-8.14,-1,-1,-1,
17,0.16,-7.92,-1,-1,-1,
18,0.17,-7.7,-1,-1,-1,
19,0.18,-7.48,-0.999999,-0.999999,-0.999999,
20,0.19,-7.26,-0.999999,-0.999999,-0.999999,
21,0.2,-7.04,-0.999998,-0.999998,-0.999998,
22,0.21,-6.82,-0.999998,-0.999998,-0.999998,
23,0.22,-6.6,-0.999996,-0.999996,-0.999996,
24,0.23,-6.38,-0.999994,-0.999994,-0.999994,
25,0.24,-6.16,-0.999991,-0.999991,-0.999991,
26,0.25,-5.94,-0.999986,-0.999986,-0.999986,
27,0.26,-5.72,-0.999978,-0.999978,-0.999978,
28,0.27,-5.5,-0.999967,-0.999967,-0.999967,
29,0.28,-5.28,-0.999948,-0.999948,-0.999948,
30,0.29,-5.06,-0.999919,-0.999919,-0.999919,
31,0.3,-4.84,-0.999875,-0.999875,-0.999875,
32,0.31,-4.62,-0.999806,-0.999806,-0.999806,
33,0.32,-4.4,-0.999699,-0.999699,-0.999699,
34,0.33,-4.18,-0.999532,-0.999532,-0.999532,
35,0.34,-3.96,-0.999273,-0.999273,-0.999273,
36,0.35,-3.74,-0.998872,-0.998872,-0.998872,
37,0.36,-3.52,-0.998249,-0.998249,-0.998249,
38,0.37,-3.3,-0.997283,-0.997283,-0.997283,
39,0.38,-3.08,-0.995784,-0.995784,-0.995784,
40,0.39,-2.86,-0.993462,-0.993462,-0.993462,
41,0.4,-2.64,-0.989867,-0.989867,-0.989867,
42,0.41,-2.42,-0.98431,-0.98431,-0.98431,
43,0.42,-2.2,-0.975743,-0.975743,-0.975743,
44,0.43,-1.98,-0.962587,-0.962587,-0.962587,
45,0.44,-1.76,-0.942503,-0.942503,-0.942503,
46,0.45,-1.54,-0.91212,-0.91212,-0.91212,
47,0.46,-1.32,-0.866784,-0.866784,-0.866784,
48,0.47,-1.1,-0.800499,-0.800499,-0.800499,
49,0.48,-0.88,-0.706419,-0.706419,-0.706419,
50,0.49,-0.66,-0.578363,-0.578363,-0.578363,
51,0.5,-0.44,-0.413644,-0.413644,-0.413644,
52,0.51,-0.22,-0.216518,-0.216518,-0.216518,
53,0.52,0,0,0,0,
54,0.53,0.22,0.216518,0.216518,0.216518,
55,0.54,0.44,0.413644,0.413644,0.413644,
56,0.55,0.66,0.578363,0.578363,0.578363,
57,0.56,0.88,0.706419,0.706419,0.706419,
58,0.57,1.1,0.800499,0.800499,0.800499,
59,0.58,1.32,0.866784,0.866784,0.866784,
60,0.59,1.54,0.91212,0.91212,0.91212,
61,0.6,1.76,0.942503,0.942503,0.942503,
62,0.61,1.98,0.962587,0.962587,0.962587,
63,0.62,2.2,0.975743,0.975743,0.975743,
64,0.63,2.42,0.98431,0.98431,0.98431,
65,0.64,2.64,0.989867,0.989867,0.989867,
66,0.65,2.86,0.993462,0.993462,0.993462,
67,0.66,3.08,0.995784,0.995784,0.995784,
68,0.67,3.3,0.997283,0.997283,0.997283,
69,0.68,3.52,0.998249,0.998249,0.998249,
70,0.69,3.74,0.998872,0.998872,0.998872,
71,0.7,3.96,0.999273,0.999273,0.999273,
72,0.71,4.18,0.999532,0.999532,0.999532,
73,0.72,4.4,0.999699,0.999699,0.999699,
74,0.73,4.62,0.999806,0.999806,0.999806,
75,0.74,4.84,0.999875,0.999875,0.999875,
76,0.75,5.06,0.999919,0.999919,0.999919,
77,0.76,5.28,0.999948,0.999948,0.999948,
78,0.77,5.5,0.999967,0.999967,0.999967,
79,0.78,5.72,0.999978,0.999978,0.999978,
80,0.79,5.94,0.999986,0.999986,0.999986,
81,0.8,6.16,0.999991,0.999991,0.999991,
82,0.81,6.38,0.999994,0.999994,0.999994,
83,0.82,6.6,0.999996,0.999996,0.999996,
84,0.83,6.82,0.999998,0.999998,0.999998,
85,0.84,7.04,0.999998,0.999998,0.999998,
86,0.85,7.26,0.999999,0.999999,0.999999,
87,0.86,7.48,0.999999,0.999999,0.999999,
88,0.87,7.7,1,1,1,
89,0.88,7.92,1,1,1,
90,0.89,8.14,1,1,1,
91,0.9,8.36,1,1,1,
92,0.91,8.58,1,1,1,
93,0.92,8.8,1,1,1,
94,0.93,9.02,1,1,1,
95,0.94,9.24,1,1,1,
96,0.95,9.46,1,1,1,
97,0.96,9.68,1,1,1,
98,0.97,9.9,1,1,1,
99,0.98,10.12,1,1,1,
100,0.99,10.34,1,1,1,
101,1,10.56,1,1,1,
102,1.01,10.78,1,1,1,
103,1.02,-11,-1,-1,-1,
104,1.03,-10.78,-1,-1,-1,
105,1.04,-10.56,-1,-1,-1,
106,1.05,-10.34,-1,-1,-1,
107,1.06,-10.12,-1,-1,-1,
108,1.07,-9.9,-1,-1,-1,
109,1.08,-9.68,-1,-1,-1,
110,1.09,-9.46,-1,-1,-1,
111,1.1,-9.24,-1,-1,-1,
112,1.11,-9.02,-1,-1,-1,
