Line;Time;clk 1;out 1;out 2;
1;0;False;0;0;
2;0.01;True;0;0;
3;0.02;True;0;0;
4;0.03;True;0.0627905;0;
5;0.04;False;0.125333;0;
6;0.05;False;0.187381;0;
7;0.06;True;0.24869;0.24869;
8;0.07;True;0.309017;0.24869;
9;0.08;False;0.368125;0.24869;
10;0.09;False;0.425779;0.24869;
11;0.1;True;0.481754;0.481754;
12;0.11;True;0.535827;0.481754;
13;0.12;False;0.587785;0.481754;
14;0.13;False;0.637424;0.481754;
15;0.14;True;0.684547;0.684547;
16;0.15;True;0.728969;0.684547;
17;0.16;False;0.770513;0.684547;
18;0.17;False;0.809017;0.684547;
19;0.18;True;0.844328;0.844328;
20;0.19;True;0.876307;0.844328;
21;0.2;False;0.904827;0.844328;
22;0.21;False;0.929776;0.844328;
23;0.22;True;0.951057;0.951057;
24;0.23;True;0.968583;0.951057;
25;0.24;False;0.982287;0.951057;
26;0.25;False;0.992115;0.951057;
27;0.26;True;0.998027;0.998027;
28;0.27;True;1;0.998027;
29;0.28;False;0.998027;0.998027;
30;0.29;False;0.992115;0.998027;
31;0.3;True;0.982287;0.982287;
32;0.31;True;0.968583;0.982287;
33;0.32;False;0.951057;0.982287;
34;0.33;False;0.929776;0.982287;
35;0.34;True;0.904827;0.904827;
36;0.35;True;0.876307;0.904827;
37;0.36;False;0.844328;0.904827;
38;0.37;False;0.809017;0.904827;
39;0.38;True;0.770513;0.770513;
40;0.39;True;0.728969;0.770513;
41;0.4;False;0.684547;0.770513;
42;0.41;False;0.637424;0.770513;
43;0.42;True;0.587785;0.587785;
44;0.43;True;0.535827;0.587785;
45;0.44;False;0.481754;0.587785;
46;0.45;False;0.425779;0.587785;
47;0.46;True;0.368125;0.368125;
48;0.47;True;0.309017;0.368125;
49;0.48;False;0.24869;0.368125;
50;0.49;False;0.187381;0.368125;
51;0.5;True;0.125333;0.125333;
52;0.51;True;0.0627905;0.125333;
53;0.52;False;1.22461e-16;0.125333;
54;0.53;False;-0.0627905;0.125333;
55;0.54;True;-0.125333;-0.125333;
56;0.55;True;-0.187381;-0.125333;
57;0.56;False;-0.24869;-0.125333;
58;0.57;False;-0.309017;-0.125333;
59;0.58;True;-0.368125;-0.368125;
60;0.59;True;-0.425779;-0.368125;
61;0.6;False;-0.481754;-0.368125;
62;0.61;False;-0.535827;-0.368125;
63;0.62;True;-0.587785;-0.587785;
64;0.63;True;-0.637424;-0.587785;
65;0.64;False;-0.684547;-0.587785;
66;0.65;False;-0.728969;-0.587785;
67;0.66;True;-0.770513;-0.770513;
68;0.67;True;-0.809017;-0.770513;
69;0.68;False;-0.844328;-0.770513;
70;0.69;False;-0.876307;-0.770513;
71;0.7;True;-0.904827;-0.904827;
72;0.71;True;-0.929776;-0.904827;
73;0.72;False;-0.951057;-0.904827;
74;0.73;False;-0.968583;-0.904827;
75;0.74;True;-0.982287;-0.982287;
76;0.75;True;-0.992115;-0.982287;
77;0.76;False;-0.998027;-0.982287;
78;0.77;False;-1;-0.982287;
79;0.78;True;-0.998027;-0.998027;
80;0.79;True;-0.992115;-0.998027;
81;0.8;False;-0.982287;-0.998027;
82;0.81;False;-0.968583;-0.998027;
83;0.82;True;-0.951057;-0.951057;
84;0.83;True;-0.929776;-0.951057;
85;0.84;False;-0.904827;-0.951057;
86;0.85;False;-0.876307;-0.951057;
87;0.86;True;-0.844328;-0.844328;
88;0.87;True;-0.809017;-0.844328;
89;0.88;False;-0.770513;-0.844328;
90;0.89;False;-0.728969;-0.844328;
91;0.9;True;-0.684547;-0.684547;
92;0.91;True;-0.637424;-0.684547;
93;0.92;False;-0.587785;-0.684547;
94;0.93;False;-0.535827;-0.684547;
95;0.94;True;-0.481754;-0.481754;
96;0.95;True;-0.425779;-0.481754;
97;0.96;False;-0.368125;-0.481754;
98;0.97;False;-0.309017;-0.481754;
99;0.98;True;-0.24869;-0.24869;
100;0.99;True;-0.187381;-0.24869;
101;1;False;-0.125333;-0.24869;
102;1.01;False;-0.0627905;-0.24869;
103;1.02;True;0;0;
104;1.03;True;0.0627905;0;
105;1.04;False;0.125333;0;
106;1.05;False;0.187381;0;
107;1.06;True;0.24869;0.24869;
108;1.07;True;0.309017;0.24869;
109;1.08;False;0.368125;0.24869;
110;1.09;False;0.425779;0.24869;
111;1.1;True;0.481754;0.481754;
112;1.11;True;0.535827;0.481754;
