Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;0;0;1;-1;0;
2;0.001;0;0;1;-1;0;
3;0.002;0.00628314;0.0314157;1.00628;-0.993717;-0.00628314;
4;0.003;0.012566;0.0628302;1.01257;-0.987434;-0.012566;
5;0.004;0.0188484;0.0942422;1.01885;-0.981152;-0.0188484;
6;0.005;0.0251301;0.12565;1.02513;-0.97487;-0.0251301;
7;0.006;0.0314108;0.157054;1.03141;-0.968589;-0.0314108;
8;0.007;0.0376902;0.188451;1.03769;-0.96231;-0.0376902;
9;0.008;0.0439681;0.219841;1.04397;-0.956032;-0.0439681;
10;0.009;0.0502443;0.251222;1.05024;-0.949756;-0.0502443;
11;0.01;0.0565185;0.282593;1.05652;-0.943481;-0.0565185;
12;0.011;0.0627905;0.313953;1.06279;-0.937209;-0.0627905;
13;0.012;0.06906;0.3453;1.06906;-0.93094;-0.06906;
14;0.013;0.0753268;0.376634;1.07533;-0.924673;-0.0753268;
15;0.014;0.0815906;0.407953;1.08159;-0.918409;-0.0815906;
16;0.015;0.0878512;0.439256;1.08785;-0.912149;-0.0878512;
17;0.016;0.0941083;0.470542;1.09411;-0.905892;-0.0941083;
18;0.017;0.100362;0.501809;1.10036;-0.899638;-0.100362;
19;0.018;0.106611;0.533056;1.10661;-0.893389;-0.106611;
20;0.019;0.112856;0.564282;1.11286;-0.887144;-0.112856;
21;0.02;0.119097;0.595486;1.1191;-0.880903;-0.119097;
22;0.021;0.125333;0.626666;1.12533;-0.874667;-0.125333;
23;0.022;0.131564;0.657822;1.13156;-0.868436;-0.131564;
24;0.023;0.13779;0.688951;1.13779;-0.86221;-0.13779;
25;0.024;0.144011;0.720054;1.14401;-0.855989;-0.144011;
26;0.025;0.150226;0.751128;1.15023;-0.849774;-0.150226;
27;0.026;0.156434;0.782172;1.15643;-0.843566;-0.156434;
28;0.027;0.162637;0.813186;1.16264;-0.837363;-0.162637;
29;0.028;0.168833;0.844167;1.16883;-0.831167;-0.168833;
30;0.029;0.175023;0.875115;1.17502;-0.824977;-0.175023;
31;0.03;0.181206;0.906029;1.18121;-0.818794;-0.181206;
32;0.031;0.187381;0.936907;1.18738;-0.812619;-0.187381;
33;0.032;0.193549;0.967747;1.19355;-0.806451;-0.193549;
34;0.033;0.19971;0.99855;1.19971;-0.80029;-0.19971;
35;0.034;0.205863;1.02931;1.20586;-0.794137;-0.205863;
36;0.035;0.212007;1.06004;1.21201;-0.787993;-0.212007;
37;0.036;0.218143;1.09072;1.21814;-0.781857;-0.218143;
38;0.037;0.224271;1.12135;1.22427;-0.775729;-0.224271;
39;0.038;0.230389;1.15195;1.23039;-0.769611;-0.230389;
40;0.039;0.236499;1.18249;1.2365;-0.763501;-0.236499;
41;0.04;0.242599;1.213;1.2426;-0.757401;-0.242599;
42;0.041;0.24869;1.24345;1.24869;-0.75131;-0.24869;
43;0.042;0.254771;1.27385;1.25477;-0.745229;-0.254771;
44;0.043;0.260842;1.30421;1.26084;-0.739158;-0.260842;
45;0.044;0.266902;1.33451;1.2669;-0.733098;-0.266902;
46;0.045;0.272952;1.36476;1.27295;-0.727048;-0.272952;
47;0.046;0.278991;1.39496;1.27899;-0.721009;-0.278991;
