Line;Time;saw 1;result;
1;0;0;0;
2;0.01;-10;0.544021;
3;0.02;-10;0.544021;
4;0.03;-9.8;0.366479;
5;0.04;-9.6;0.174327;
6;0.05;-9.4;-0.0247754;
7;0.06;-9.2;-0.22289;
8;0.07;-9;-0.412118;
9;0.08;-8.8;-0.584917;
10;0.09;-8.6;-0.734397;
11;0.1;-8.4;-0.854599;
12;0.11;-8.2;-0.940731;
13;0.12;-8;-0.989358;
14;0.13;-7.8;-0.998543;
15;0.14;-7.6;-0.96792;
16;0.15;-7.4;-0.898708;
17;0.16;-7.2;-0.793668;
18;0.17;-7;-0.656987;
19;0.18;-6.8;-0.494113;
20;0.19;-6.6;-0.311541;
21;0.2;-6.4;-0.116549;
22;0.21;-6.2;0.0830894;
23;0.22;-6;0.279415;
24;0.23;-5.8;0.464602;
25;0.24;-5.6;0.631267;
26;0.25;-5.4;0.772764;
27;0.26;-5.2;0.883455;
28;0.27;-5;0.958924;
29;0.28;-4.8;0.996165;
30;0.29;-4.6;0.993691;
31;0.3;-4.4;0.951602;
32;0.31;-4.2;0.871576;
33;0.32;-4;0.756802;
34;0.33;-3.8;0.611858;
35;0.34;-3.6;0.44252;
36;0.35;-3.4;0.255541;
37;0.36;-3.2;0.0583741;
38;0.37;-3;-0.14112;
39;0.38;-2.8;-0.334988;
40;0.39;-2.6;-0.515501;
41;0.4;-2.4;-0.675463;
42;0.41;-2.2;-0.808496;
43;0.42;-2;-0.909297;
44;0.43;-1.8;-0.973848;
45;0.44;-1.6;-0.999574;
46;0.45;-1.4;-0.98545;
47;0.46;-1.2;-0.932039;
48;0.47;-1;-0.841471;
49;0.48;-0.8;-0.717356;
50;0.49;-0.6;-0.564642;
51;0.5;-0.4;-0.389418;
52;0.51;-0.2;-0.198669;
53;0.52;0;0;
54;0.53;0.2;0.198669;
55;0.54;0.4;0.389418;
56;0.55;0.6;0.564642;
57;0.56;0.8;0.717356;
58;0.57;1;0.841471;
59;0.58;1.2;0.932039;
60;0.59;1.4;0.98545;
61;0.6;1.6;0.999574;
62;0.61;1.8;0.973848;
63;0.62;2;0.909297;
64;0.63;2.2;0.808496;
65;0.64;2.4;0.675463;
66;0.65;2.6;0.515501;
67;0.66;2.8;0.334988;
68;0.67;3;0.14112;
69;0.68;3.2;-0.0583741;
70;0.69;3.4;-0.255541;
71;0.7;3.6;-0.44252;
72;0.71;3.8;-0.611858;
73;0.72;4;-0.756802;
74;0.73;4.2;-0.871576;
75;0.74;4.4;-0.951602;
76;0.75;4.6;-0.993691;
77;0.76;4.8;-0.996165;
78;0.77;5;-0.958924;
79;0.78;5.2;-0.883455;
80;0.79;5.4;-0.772764;
81;0.8;5.6;-0.631267;
82;0.81;5.8;-0.464602;
83;0.82;6;-0.279415;
84;0.83;6.2;-0.0830894;
85;0.84;6.4;0.116549;
86;0.85;6.6;0.311541;
87;0.86;6.8;0.494113;
88;0.87;7;0.656987;
89;0.88;7.2;0.793668;
90;0.89;7.4;0.898708;
91;0.9;7.6;0.96792;
92;0.91;7.8;0.998543;
93;0.92;8;0.989358;
94;0.93;8.2;0.940731;
95;0.94;8.4;0.854599;
96;0.95;8.6;0.734397;
97;0.96;8.8;0.584917;
98;0.97;9;0.412118;
99;0.98;9.2;0.22289;
100;0.99;9.4;0.0247754;
101;1;9.6;-0.174327;
102;1.01;9.8;-0.366479;
103;1.02;-10;0.544021;
104;1.03;-9.8;0.366479;
105;1.04;-9.6;0.174327;
106;1.05;-9.4;-0.0247754;
107;1.06;-9.2;-0.22289;
108;1.07;-9;-0.412118;
109;1.08;-8.8;-0.584917;
110;1.09;-8.6;-0.734397;
111;1.1;-8.4;-0.854599;
112;1.11;-8.2;-0.940731;
