Line,Time,saw 1,saw 2,Result 0,Result 1000,Result -1000,
89,0.88,-8.47565,-6.46564,-2.22247,-2.22247,-2.22247,
90,0.89,-8.01865,-10.4616,-2.48763,-2.48763,-2.48763,
91,0.9,-7.53002,-10.4616,-2.51772,-2.51772,-2.51772,
92,0.91,-7.01166,-6.46564,-2.3157,-2.3157,-2.3157,
93,0.92,-6.46564,0,-1.5708,-1.5708,-1.5708,
94,0.93,-5.89409,6.46564,-0.739189,-0.739189,-0.739189,
95,0.94,-5.29929,10.4616,-0.468871,-0.468871,-0.468871,
96,0.95,-4.68357,10.4616,-0.420932,-0.420932,-0.420932,
97,0.96,-4.04937,6.46564,-0.559527,-0.559527,-0.559527,
98,0.97,-3.39919,1.34707e-15,-1.5708,-1.5708,-1.5708,
99,0.98,-2.73559,-6.46564,-2.74134,-2.74134,-2.74134,
100,0.99,-2.06119,-10.4616,-2.94706,-2.94706,-2.94706,
101,1,-1.37867,-10.4616,-3.01056,-3.01056,-3.01056,
102,1.01,-0.690696,-6.46564,-3.03517,-3.03517,-3.03517,
103,1.02,0,0,0,0,0,
104,1.03,0.690696,6.46564,0.106422,0.106422,0.106422,
105,1.04,1.37867,10.4616,0.131028,0.131028,0.131028,
106,1.05,2.06119,10.4616,0.194533,0.194533,0.194533,
107,1.06,2.73559,6.46564,0.400257,0.400257,0.400257,
108,1.07,3.39919,1.34707e-15,1.5708,1.5708,1.5708,
109,1.08,4.04937,-6.46564,2.58207,2.58207,2.58207,
110,1.09,4.68357,-10.4616,2.72066,2.72066,2.72066,
111,1.1,5.29929,-10.4616,2.67272,2.67272,2.67272,
112,1.11,5.89409,-6.46564,2.4024,2.4024,2.4024,
