Line;Time;clk 1;out 1;out 2;Floating Point Input 1;Floating Point Input 2;
1;0;Falsch;0;0;0;0;
2;0.01;Wahr;0;0;10;10;
3;0.02;Wahr;0;0;10;10;
4;0.03;Wahr;0.0627905;0.0627905;10.0628;10.0628;
5;0.04;Falsch;0.125333;0.0627905;10.1253;10.0628;
6;0.05;Falsch;0.187381;0.0627905;10.1874;10.0628;
7;0.06;Wahr;0.24869;0.24869;10.2487;10.2487;
8;0.07;Wahr;0.309017;0.309017;10.309;10.309;
9;0.08;Falsch;0.368125;0.309017;10.3681;10.309;
10;0.09;Falsch;0.425779;0.309017;10.4258;10.309;
11;0.1;Wahr;0.481754;0.481754;10.4818;10.4818;
12;0.11;Wahr;0.535827;0.535827;10.5358;10.5358;
13;0.12;Falsch;0.587785;0.535827;10.5878;10.5358;
14;0.13;Falsch;0.637424;0.535827;10.6374;10.5358;
15;0.14;Wahr;0.684547;0.684547;10.6845;10.6845;
16;0.15;Wahr;0.728969;0.728969;10.729;10.729;
17;0.16;Falsch;0.770513;0.728969;10.7705;10.729;
18;0.17;Falsch;0.809017;0.728969;10.809;10.729;
19;0.18;Wahr;0.844328;0.844328;10.8443;10.8443;
20;0.19;Wahr;0.876307;0.876307;10.8763;10.8763;
21;0.2;Falsch;0.904827;0.876307;10.9048;10.8763;
22;0.21;Falsch;0.929776;0.876307;10.9298;10.8763;
23;0.22;Wahr;0.951057;0.951057;10.9511;10.9511;
24;0.23;Wahr;0.968583;0.968583;10.9686;10.9686;
25;0.24;Falsch;0.982287;0.968583;10.9823;10.9686;
26;0.25;Falsch;0.992115;0.968583;10.9921;10.9686;
27;0.26;Wahr;0.998027;0.998027;10.998;10.998;
28;0.27;Wahr;1;1;11;11;
29;0.28;Falsch;0.998027;1;10.998;11;
30;0.29;Falsch;0.992115;1;10.9921;11;
31;0.3;Wahr;0.982287;0.982287;10.9823;10.9823;
32;0.31;Wahr;0.968583;0.968583;10.9686;10.9686;
33;0.32;Falsch;0.951057;0.968583;10.9511;10.9686;
34;0.33;Falsch;0.929776;0.968583;10.9298;10.9686;
35;0.34;Wahr;0.904827;0.904827;10.9048;10.9048;
36;0.35;Wahr;0.876307;0.876307;10.8763;10.8763;
