Line,Time,saw 1,Result 0,Result 1000,Result -1000,
1,0,0,0,1000,-1000,
2,0.01,0,nan,nan,nan,
3,0.02,0,nan,nan,nan,
4,0.03,0.11,nan,nan,nan,
5,0.04,0.22,nan,nan,nan,
6,0.05,0.33,nan,nan,nan,
7,0.06,0.44,nan,nan,nan,
8,0.07,0.55,nan,nan,nan,
9,0.08,0.66,nan,nan,nan,
10,0.09,0.77,nan,nan,nan,
11,0.1,0.88,nan,nan,nan,
12,0.11,0.99,nan,nan,nan,
13,0.12,1.1,0.443568,0.443568,0.443568,
14,0.13,1.21,0.637237,0.637237,0.637237,
15,0.14,1.32,0.780071,0.780071,0.780071,
16,0.15,1.43,0.896987,0.896987,0.896987,
17,0.16,1.54,0.997374,0.997374,0.997374,
18,0.17,1.65,1.08601,1.08601,1.08601,
19,0.18,1.76,1.16574,1.16574,1.16574,
20,0.19,1.87,1.23842,1.23842,1.23842,
21,0.2,1.98,1.30533,1.30533,1.30533,
22,0.21,2.09,1.36743,1.36743,1.36743,
23,0.22,2.2,1.42542,1.42542,1.42542,
24,0.23,2.31,1.47986,1.47986,1.47986,
25,0.24,2.42,1.5312,1.5312,1.5312,
26,0.25,2.53,1.5798,1.5798,1.5798,
27,0.26,2.64,1.62596,1.62596,1.62596,
28,0.27,2.75,1.66992,1.66992,1.66992,
29,0.28,2.86,1.7119,1.7119,1.7119,
30,0.29,2.97,1.75208,1.75208,1.75208,
31,0.3,3.08,1.79062,1.79062,1.79062,
32,0.31,3.19,1.82764,1.82764,1.82764,
33,0.32,3.3,1.86328,1.86328,1.86328,
34,0.33,3.41,1.89763,1.89763,1.89763,
35,0.34,3.52,1.93079,1.93079,1.93079,
36,0.35,3.63,1.96284,1.96284,1.96284,
37,0.36,3.74,1.99386,1.99386,1.99386,
38,0.37,3.85,2.02391,2.02391,2.02391,
39,0.38,3.96,2.05305,2.05305,2.05305,
40,0.39,4.07,2.08134,2.08134,2.08134,
41,0.4,4.18,2.10883,2.10883,2.10883,
42,0.41,4.29,2.13556,2.13556,2.13556,
43,0.42,4.4,2.16158,2.16158,2.16158,
44,0.43,4.51,2.18692,2.18692,2.18692,
45,0.44,4.62,2.21162,2.21162,2.21162,
46,0.45,4.73,2.23571,2.23571,2.23571,
47,0.46,4.84,2.25921,2.25921,2.25921,
48,0.47,4.95,2.28217,2.28217,2.28217,
49,0.48,5.06,2.3046,2.3046,2.3046,
50,0.49,5.17,2.32653,2.32653,2.32653,
51,0.5,5.28,2.34798,2.34798,2.34798,
52,0.51,5.39,2.36897,2.36897,2.36897,
53,0.52,5.5,2.38953,2.38953,2.38953,
54,0.53,5.61,2.40966,2.40966,2.40966,
55,0.54,5.72,2.42939,2.42939,2.42939,
56,0.55,5.83,2.44873,2.44873,2.44873,
57,0.56,5.94,2.46769,2.46769,2.46769,
58,0.57,6.05,2.4863,2.4863,2.4863,
59,0.58,6.16,2.50457,2.50457,2.50457,
60,0.59,6.27,2.5225,2.5225,2.5225,
61,0.6,6.38,2.54012,2.54012,2.54012,
62,0.61,6.49,2.55742,2.55742,2.55742,
63,0.62,6.6,2.57443,2.57443,2.57443,
64,0.63,6.71,2.59115,2.59115,2.59115,
65,0.64,6.82,2.60759,2.60759,2.60759,
66,0.65,6.93,2.62376,2.62376,2.62376,
67,0.66,7.04,2.63967,2.63967,2.63967,
68,0.67,7.15,2.65533,2.65533,2.65533,
69,0.68,7.26,2.67075,2.67075,2.67075,
70,0.69,7.37,2.68593,2.68593,2.68593,
71,0.7,7.48,2.70088,2.70088,2.70088,
72,0.71,7.59,2.71561,2.71561,2.71561,
73,0.72,7.7,2.73012,2.73012,2.73012,
74,0.73,7.81,2.74443,2.74443,2.74443,
75,0.74,7.92,2.75853,2.75853,2.75853,
76,0.75,8.03,2.77243,2.77243,2.77243,
77,0.76,8.14,2.78614,2.78614,2.78614,
78,0.77,8.25,2.79967,2.79967,2.79967,
79,0.78,8.36,2.81301,2.81301,2.81301,
80,0.79,8.47,2.82617,2.82617,2.82617,
81,0.8,8.58,2.83917,2.83917,2.83917,
82,0.81,8.69,2.85199,2.85199,2.85199,
83,0.82,8.8,2.86465,2.86465,2.86465,
84,0.83,8.91,2.87716,2.87716,2.87716,
85,0.84,9.02,2.8895,2.8895,2.8895,
86,0.85,9.13,2.9017,2.9017,2.9017,
87,0.86,9.24,2.91375,2.91375,2.91375,
88,0.87,9.35,2.92565,2.92565,2.92565,
89,0.88,9.46,2.93741,2.93741,2.93741,
90,0.89,9.57,2.94904,2.94904,2.94904,
91,0.9,9.68,2.96053,2.96053,2.96053,
92,0.91,9.79,2.97189,2.97189,2.97189,
93,0.92,9.9,2.98312,2.98312,2.98312,
94,0.93,10.01,2.99423,2.99423,2.99423,
95,0.94,10.12,3.00521,3.00521,3.00521,
96,0.95,10.23,3.01607,3.01607,3.01607,
97,0.96,10.34,3.02682,3.02682,3.02682,
98,0.97,10.45,3.03745,3.03745,3.03745,
99,0.98,10.56,3.04797,3.04797,3.04797,
100,0.99,10.67,3.05838,3.05838,3.05838,
101,1,10.78,3.06868,3.06868,3.06868,
102,1.01,10.89,3.07888,3.07888,3.07888,
103,1.02,0,nan,nan,nan,
104,1.03,0.11,nan,nan,nan,
105,1.04,0.22,nan,nan,nan,
106,1.05,0.33,nan,nan,nan,
107,1.06,0.44,nan,nan,nan,
108,1.07,0.55,nan,nan,nan,
109,1.08,0.66,nan,nan,nan,
110,1.09,0.77,nan,nan,nan,
111,1.1,0.88,nan,nan,nan,
112,1.11,0.99,nan,nan,nan,
