Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-1;-1;-1;-1;
2;0.01;-1;-1;-1;-1;-1;
3;0.02;-0.98;-0.99;-0.996;-0.96;-0.8;
4;0.03;-0.96;-0.98;-0.992;-0.92;-0.6;
5;0.04;-0.94;-0.97;-0.988;-0.88;-0.4;
6;0.05;-0.92;-0.96;-0.984;-0.84;-0.2;
7;0.06;-0.9;-0.95;-0.98;-0.8;0;
8;0.07;-0.88;-0.94;-0.976;-0.76;0.2;
9;0.08;-0.86;-0.93;-0.972;-0.72;0.4;
10;0.09;-0.84;-0.92;-0.968;-0.68;0.6;
11;0.1;-0.82;-0.91;-0.964;-0.64;0.8;
12;0.11;-0.8;-0.9;-0.96;-0.6;-1;
13;0.12;-0.78;-0.89;-0.956;-0.56;-0.8;
14;0.13;-0.76;-0.88;-0.952;-0.52;-0.6;
15;0.14;-0.74;-0.87;-0.948;-0.48;-0.4;
16;0.15;-0.72;-0.86;-0.944;-0.44;-0.2;
17;0.16;-0.7;-0.85;-0.94;-0.4;0;
18;0.17;-0.68;-0.84;-0.936;-0.36;0.2;
19;0.18;-0.66;-0.83;-0.932;-0.32;0.4;
20;0.19;-0.64;-0.82;-0.928;-0.28;0.6;
21;0.2;-0.62;-0.81;-0.924;-0.24;0.8;
22;0.21;-0.6;-0.8;-0.92;-0.2;-1;
23;0.22;-0.58;-0.79;-0.916;-0.16;-0.8;
24;0.23;-0.56;-0.78;-0.912;-0.12;-0.6;
25;0.24;-0.54;-0.77;-0.908;-0.08;-0.4;
26;0.25;-0.52;-0.76;-0.904;-0.04;-0.2;
27;0.26;-0.5;-0.75;-0.9;0;0;
28;0.27;-0.48;-0.74;-0.896;0.04;0.2;
29;0.28;-0.46;-0.73;-0.892;0.08;0.4;
30;0.29;-0.44;-0.72;-0.888;0.12;0.6;
31;0.3;-0.42;-0.71;-0.884;0.16;0.8;
32;0.31;-0.4;-0.7;-0.88;0.2;-1;
33;0.32;-0.38;-0.69;-0.876;0.24;-0.8;
34;0.33;-0.36;-0.68;-0.872;0.28;-0.6;
35;0.34;-0.34;-0.67;-0.868;0.32;-0.4;
36;0.35;-0.32;-0.66;-0.864;0.36;-0.2;
37;0.36;-0.3;-0.65;-0.86;0.4;0;
38;0.37;-0.28;-0.64;-0.856;0.44;0.2;
39;0.38;-0.26;-0.63;-0.852;0.48;0.4;
40;0.39;-0.24;-0.62;-0.848;0.52;0.6;
41;0.4;-0.22;-0.61;-0.844;0.56;0.8;
42;0.41;-0.2;-0.6;-0.84;0.6;-1;
43;0.42;-0.18;-0.59;-0.836;0.64;-0.8;
44;0.43;-0.16;-0.58;-0.832;0.68;-0.6;
45;0.44;-0.14;-0.57;-0.828;0.72;-0.4;
46;0.45;-0.12;-0.56;-0.824;0.76;-0.2;
47;0.46;-0.1;-0.55;-0.82;0.8;0;
48;0.47;-0.08;-0.54;-0.816;0.84;0.2;
49;0.48;-0.06;-0.53;-0.812;0.88;0.4;
50;0.49;-0.04;-0.52;-0.808;0.92;0.6;
51;0.5;-0.02;-0.51;-0.804;0.96;0.8;
52;0.51;0;-0.5;-0.8;-1;-1;
53;0.52;0.02;-0.49;-0.796;-0.96;-0.8;
54;0.53;0.04;-0.48;-0.792;-0.92;-0.6;
55;0.54;0.06;-0.47;-0.788;-0.88;-0.4;
56;0.55;0.08;-0.46;-0.784;-0.84;-0.2;
57;0.56;0.1;-0.45;-0.78;-0.8;0;
58;0.57;0.12;-0.44;-0.776;-0.76;0.2;
59;0.58;0.14;-0.43;-0.772;-0.72;0.4;
60;0.59;0.16;-0.42;-0.768;-0.68;0.6;
61;0.6;0.18;-0.41;-0.764;-0.64;0.8;
62;0.61;0.2;-0.4;-0.76;-0.6;-1;
63;0.62;0.22;-0.39;-0.756;-0.56;-0.8;
64;0.63;0.24;-0.38;-0.752;-0.52;-0.6;
65;0.64;0.26;-0.37;-0.748;-0.48;-0.4;
66;0.65;0.28;-0.36;-0.744;-0.44;-0.2;
67;0.66;0.3;-0.35;-0.74;-0.4;0;
68;0.67;0.32;-0.34;-0.736;-0.36;0.2;
69;0.68;0.34;-0.33;-0.732;-0.32;0.4;
70;0.69;0.36;-0.32;-0.728;-0.28;0.6;
71;0.7;0.38;-0.31;-0.724;-0.24;0.8;
72;0.71;0.4;-0.3;-0.72;-0.2;-1;
73;0.72;0.42;-0.29;-0.716;-0.16;-0.8;
74;0.73;0.44;-0.28;-0.712;-0.12;-0.6;
75;0.74;0.46;-0.27;-0.708;-0.08;-0.4;
76;0.75;0.48;-0.26;-0.704;-0.04;-0.2;
77;0.76;0.5;-0.25;-0.7;0;0;
78;0.77;0.52;-0.24;-0.696;0.04;0.2;
79;0.78;0.54;-0.23;-0.692;0.08;0.4;
80;0.79;0.56;-0.22;-0.688;0.12;0.6;
81;0.8;0.58;-0.21;-0.684;0.16;0.8;
82;0.81;0.6;-0.2;-0.68;0.2;-1;
83;0.82;0.62;-0.19;-0.676;0.24;-0.8;
84;0.83;0.64;-0.18;-0.672;0.28;-0.6;
85;0.84;0.66;-0.17;-0.668;0.32;-0.4;
86;0.85;0.68;-0.16;-0.664;0.36;-0.2;
87;0.86;0.7;-0.15;-0.66;0.4;0;
88;0.87;0.72;-0.14;-0.656;0.44;0.2;
89;0.88;0.74;-0.13;-0.652;0.48;0.4;
90;0.89;0.76;-0.12;-0.648;0.52;0.6;
91;0.9;0.78;-0.11;-0.644;0.56;0.8;
92;0.91;0.8;-0.1;-0.64;0.6;-1;
93;0.92;0.82;-0.09;-0.636;0.64;-0.8;
94;0.93;0.84;-0.08;-0.632;0.68;-0.6;
95;0.94;0.86;-0.07;-0.628;0.72;-0.4;
96;0.95;0.88;-0.06;-0.624;0.76;-0.2;
97;0.96;0.9;-0.05;-0.62;0.8;0;
98;0.97;0.92;-0.04;-0.616;0.84;0.2;
99;0.98;0.94;-0.03;-0.612;0.88;0.4;
100;0.99;0.96;-0.02;-0.608;0.92;0.6;
101;1;0.98;-0.01;-0.604;0.96;0.8;
102;1.01;-1;0;-0.6;-1;-1;
103;1.02;-0.98;0.01;-0.596;-0.96;-0.8;
104;1.03;-0.96;0.02;-0.592;-0.92;-0.6;
105;1.04;-0.94;0.03;-0.588;-0.88;-0.4;
106;1.05;-0.92;0.04;-0.584;-0.84;-0.2;
107;1.06;-0.9;0.05;-0.58;-0.8;0;
108;1.07;-0.88;0.06;-0.576;-0.76;0.2;
109;1.08;-0.86;0.07;-0.572;-0.72;0.4;
110;1.09;-0.84;0.08;-0.568;-0.68;0.6;
111;1.1;-0.82;0.09;-0.564;-0.64;0.8;
112;1.11;-0.8;0.1;-0.56;-0.6;-1;
113;1.12;-0.78;0.11;-0.556;-0.56;-0.8;
114;1.13;-0.76;0.12;-0.552;-0.52;-0.6;
115;1.14;-0.74;0.13;-0.548;-0.48;-0.4;
116;1.15;-0.72;0.14;-0.544;-0.44;-0.2;
117;1.16;-0.7;0.15;-0.54;-0.4;0;
118;1.17;-0.68;0.16;-0.536;-0.36;0.2;
119;1.18;-0.66;0.17;-0.532;-0.32;0.4;
120;1.19;-0.64;0.18;-0.528;-0.28;0.6;
121;1.2;-0.62;0.19;-0.524;-0.24;0.8;
122;1.21;-0.6;0.2;-0.52;-0.2;-1;
123;1.22;-0.58;0.21;-0.516;-0.16;-0.8;
124;1.23;-0.56;0.22;-0.512;-0.12;-0.6;
125;1.24;-0.54;0.23;-0.508;-0.08;-0.4;
126;1.25;-0.52;0.24;-0.504;-0.04;-0.2;
127;1.26;-0.5;0.25;-0.5;0;0;
128;1.27;-0.48;0.26;-0.496;0.04;0.2;
129;1.28;-0.46;0.27;-0.492;0.08;0.4;
130;1.29;-0.44;0.28;-0.488;0.12;0.6;
131;1.3;-0.42;0.29;-0.484;0.16;0.8;
132;1.31;-0.4;0.3;-0.48;0.2;-1;
133;1.32;-0.38;0.31;-0.476;0.24;-0.8;
134;1.33;-0.36;0.32;-0.472;0.28;-0.6;
135;1.34;-0.34;0.33;-0.468;0.32;-0.4;
136;1.35;-0.32;0.34;-0.464;0.36;-0.2;
137;1.36;-0.3;0.35;-0.46;0.4;0;
138;1.37;-0.28;0.36;-0.456;0.44;0.2;
139;1.38;-0.26;0.37;-0.452;0.48;0.4;
140;1.39;-0.24;0.38;-0.448;0.52;0.6;
141;1.4;-0.22;0.39;-0.444;0.56;0.8;
142;1.41;-0.2;0.4;-0.44;0.6;-1;
143;1.42;-0.18;0.41;-0.436;0.64;-0.8;
144;1.43;-0.16;0.42;-0.432;0.68;-0.6;
145;1.44;-0.14;0.43;-0.428;0.72;-0.4;
146;1.45;-0.12;0.44;-0.424;0.76;-0.2;
147;1.46;-0.1;0.45;-0.42;0.8;0;
